full_address,latitude,longitude,location_type
"24 E 12TH ST, NEW YORK, NY 10003, USA",40.7338882,-73.99331819999999,ROOFTOP
"412 6TH AVENUE, NEW YORK, NY 10011, USA",40.7338964,-73.99908289999999,ROOFTOP
"440 E 20TH ST, NEW YORK, NY 10009, USA",40.733947,-73.9783733,ROOFTOP
"327 E 17TH ST, NEW YORK, NY 10003, USA",40.7339551,-73.9823318,ROOFTOP
"317 E 17TH ST FL 1, NEW YORK, NY 10003, USA",40.7341759,-73.982687,ROOFTOP
"317 E 17TH ST STE 2F05, NEW YORK, NY 10003, USA",40.7341759,-73.982687,ROOFTOP
"317 E 17TH ST, NEW YORK, NY 10003, USA",40.7341759,-73.982687,ROOFTOP
"31 W 10TH ST APT 1A, NEW YORK, NY 10011, USA",40.7342911,-73.99696519999999,ROOFTOP
"113 UNIVERSITY PLACE, NEW YORK, NY 10003, USA",40.7343186,-73.9922935,ROOFTOP
"301 E 17TH ST, NEW YORK, NY 10003, USA",40.7343532,-73.9829855,ROOFTOP
"130 7TH AVE S, NEW YORK, NY 10014, USA",40.7345726,-74.00245799999999,ROOFTOP
"853 BROADWAY STE 2001, NEW YORK, NY 10003, USA",40.7346478,-73.99104299999999,ROOFTOP
"10 UNION SQUARE EAST, NEW YORK, NY 10003, USA",40.7347831,-73.9894303,ROOFTOP
"10 UNION SQ E, NEW YORK, NY 10003, USA",40.7347831,-73.9894303,ROOFTOP
"62 CHARLES ST, NEW YORK, NY 10014, USA",40.7348316,-74.0029255,ROOFTOP
"3 PETER COOPER RD, NEW YORK, NY 10010, USA",40.7348419,-73.977631,GEOMETRIC_CENTER
"32 UNION SQ E STE 402, NEW YORK, NY 10003, USA",40.7354868,-73.9892065,ROOFTOP
"32 UNION SQ E STE 603, NEW YORK, NY 10003, USA",40.7355089,-73.9893123,ROOFTOP
"32 UNION SQ E STE 1115, NEW YORK, NY 10003, USA",40.7356752,-73.98926399999999,ROOFTOP
"5 UNION SQ W # 1053, NEW YORK, NY 10003, USA",40.7357519,-73.99179509999999,ROOFTOP
"16 E 16TH ST, NEW YORK, NY 10003, USA",40.7357722,-73.9889383,GEOMETRIC_CENTER
"100 W 12TH ST APT 2C, NEW YORK, NY 10011, USA",40.7359036,-73.9978704,ROOFTOP
"19 UNION SQ W, NEW YORK, NY 10003, USA",40.7360918,-73.9912607,ROOFTOP
"130 E 18TH ST STE 1U, NEW YORK, NY 10003, USA",40.7361064,-73.9865382,ROOFTOP
"227 E 19TH ST, NEW YORK, NY 10003, USA",40.7361847,-73.98355389999999,GEOMETRIC_CENTER
"430 E 23RD ST, NEW YORK, NY 10010, USA",40.7362686,-73.9770748,RANGE_INTERPOLATED
"153 W 11TH ST, NEW YORK, NY 10011, USA",40.7364656,-74.00052529999999,ROOFTOP
"144 W 12TH ST, NEW YORK, NY 10011, USA",40.73653789999999,-73.9993717,ROOFTOP
"151 E 19TH ST, NEW YORK, NY 10003, USA",40.7365945,-73.9851561,ROOFTOP
"67 IRVING PLACE 10 TH FLOOR, NEW YORK, NY 10003, USA",40.7367035,-73.9870253,ROOFTOP
"67 IRVING PL, NEW YORK, NY 10003, USA",40.736719,-73.9870095,ROOFTOP
"511 6TH AVE # 7260, NEW YORK, NY 10011, USA",40.7368679,-73.9974174,ROOFTOP
"371 2ND AVE, NEW YORK, NY 10010, USA",40.7368688,-73.9819748,ROOFTOP
"380 2ND AVE, NEW YORK, NY 10010, USA",40.7369062,-73.98136389999999,ROOFTOP
"170 W 12TH ST, NEW YORK, NY 10011, USA",40.7369108,-74.00031109999999,ROOFTOP
"200 PARK AVE S, NEW YORK, NY 10003, USA",40.73696109999999,-73.98920269999999,ROOFTOP
"37 UNION SQ W, NEW YORK, NY 10003, USA",40.7370057,-73.990792,ROOFTOP
"247 3RD AVE, NEW YORK, NY 10010, USA",40.7370358,-73.98418889999999,ROOFTOP
"423 EAST 23RD STREET, NY, NY 10010, USA",40.7370457,-73.9768461,ROOFTOP
"423 E 23RD ST, NEW YORK, NY 10010, USA",40.7370457,-73.9768461,ROOFTOP
"13 E 16TH ST, NEW YORK, NY 10003, USA",40.7371037,-73.9915714,ROOFTOP
"85 5TH AVE STE 910, NEW YORK, NY 10003, USA",40.7372973,-73.9921861,ROOFTOP
